数据下载时间：2021-05-27 12:30:30 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/零度果坊食品旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
1,https://img.alicdn.com/imgextra/i2/4270642722/O1CN01Zuqmnl1Vyilkp5Wp1_!!4270642722.jpg,【预售】零度果坊 陪我长大 儿童果汁果昔 橙汁 白桃 宝宝辅食6瓶,	645222898056,,10.0,10.0,125,125,8.00%,1,999,0,1,1,0.01%,10,0.00%,10,0,0,0,,,预售价,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,浓缩果蔬汁,,,2021-05-30,21:20:54,3天8时50分25秒,日,http://item.taobao.com/item.htm?id=645222898056,https://kandianbao.com/item/645222898056/, 
2,https://img.alicdn.com/imgextra/i3/4270642722/O1CN01z1IpZQ1VyijPHMfxI_!!4270642722.jpg,【预售】零度果坊 NFC鲜榨 橙汁 葡萄汁 芒果汁 猕猴桃汁 富含维C,	582715882377,,20.0,20.0,280,280,7.14%,5,699,0,1,164,0.01%,20,0.00%,3280,146,30,0,,,预售价,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-30,21:20:54,3天8时50分25秒,日,http://item.taobao.com/item.htm?id=582715882377,https://kandianbao.com/item/582715882377/, 
3,https://img.alicdn.com/imgextra/i1/4270642722/O1CN016prcvf1Vyiihesld8_!!4270642722.jpg,【预售】零度果坊 NFC鲜榨橙汁 果汁 7种口味混合果汁 富含维C,	629180965219,,20.0,20.0,136,136,14.71%,8,855,0,5,175,0.06%,100,0.01%,3500,162,38,0,,,预售价,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-30,21:20:53,3天8时50分24秒,日,http://item.taobao.com/item.htm?id=629180965219,https://kandianbao.com/item/629180965219/, 
4,https://img.alicdn.com/imgextra/i1/4270642722/O1CN01LXJ3CK1VyiieiOOLh_!!4270642722.jpg,零度果坊 NFC鲜榨芒果汁 家庭分享装960ml*4瓶  富含维C,	582390108672,,184.0,184.0,192,192,95.83%,1,85,0,7,878,0.08%,1288,0.15%,161552,562,164,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-28,10:39:00,22时8分31秒,五,http://item.taobao.com/item.htm?id=582390108672,https://kandianbao.com/item/582390108672/, 
5,https://img.alicdn.com/imgextra/i2/4270642722/O1CN01YsNPLJ1VyikuxMpyD_!!4270642722.jpg,[预售]零度果坊 每日鲜NFC果汁 橙汁菠萝苹果汁 数字果汁100%果汁,	645111606557,,10.0,10.0,103,103,9.71%,2,992,0,8,8,0.09%,80,0.01%,80,10,0,0,,,预售价,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-30,21:20:55,3天8时50分26秒,日,http://item.taobao.com/item.htm?id=645111606557,https://kandianbao.com/item/645111606557/, 
6,https://img.alicdn.com/imgextra/i1/4270642722/O1CN010qZW771VyiibR1zrH_!!4270642722.jpg,零度果坊 猕猴桃复合果汁饮料 家庭分享装960ml*4瓶  富含维C,	582390464323,,184.0,184.0,192,192,95.83%,1,80,0,12,434,0.14%,2208,0.25%,79856,1122,65,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-28,10:46:03,22时15分34秒,五,http://item.taobao.com/item.htm?id=582390464323,https://kandianbao.com/item/582390464323/, 
7,https://img.alicdn.com/imgextra/i1/4270642722/O1CN012jjCbG1Vyilp36JWO_!!4270642722.jpg,零度果坊 陪我长大儿童果汁果昔橙汁白桃味宝宝辅食儿童辅食6瓶装,	644788085185,,99.0,99.0,125,125,79.20%,1,3344,0,15,16,0.17%,1485,0.17%,1584,30,0,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,浓缩果蔬汁,,,2021-06-02,18:18:04,6天5时47分35秒,三,http://item.taobao.com/item.htm?id=644788085185,https://kandianbao.com/item/644788085185/, 
8,https://img.alicdn.com/imgextra/i1/4270642722/O1CN01bAPk7l1VyiibR07BR_!!4270642722.jpg,零度果坊  NFC鲜榨橙汁果汁 标准装300ml 新鲜果汁 富含维C,	582712123942,,119.0,238.0,124,248,95.97%,2,940,0,16,637,0.18%,2665.6,0.31%,106124.2,370,95,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-06-02,14:14:18,6天1时43分49秒,三,http://item.taobao.com/item.htm?id=582712123942,https://kandianbao.com/item/582712123942/, 
9,https://img.alicdn.com/imgextra/i1/4270642722/O1CN01lV06901Vyigiv64qU_!!4270642722.jpg,【预售】零度果坊早橙好 NFC果汁 橙汁 白桃 菠萝汁早餐100%果汁,	624405721913,,10.0,10.0,125,125,8.00%,3,4182,0,18,6212,0.21%,180,0.02%,62120,1354,1160,0,,,预售价,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-30,21:20:53,3天8时50分24秒,日,http://item.taobao.com/item.htm?id=624405721913,https://kandianbao.com/item/624405721913/,宝宝放心喝(6);不是很甜(4);酸酸的(4);好喝(91);小小的(3);不好吃(6)
10,https://img.alicdn.com/imgextra/i1/4270642722/O1CN010WP3ps1VyiidtcFAE_!!4270642722.jpg,零度果坊 NFC鲜榨 葡萄蓝莓混合果汁960mL x 4瓶 富含维C,	591400446052,,184.0,184.0,192,192,95.83%,1,67,0,18,911,0.21%,3312,0.38%,167624,1998,214,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-27,15:16:37,2时46分8秒,四,http://item.taobao.com/item.htm?id=591400446052,https://kandianbao.com/item/591400446052/,口感非常好(2);物流快(2)
11,https://img.alicdn.com/imgextra/i1/4270642722/O1CN01Sp34bB1VyiigTRV8T_!!4270642722.jpg,零度果坊 NFC鲜榨芒果汁 标准装300ml 新鲜果汁 富含维C,	582451177699,,119.0,238.0,124,248,95.97%,2,883,0,19,593,0.22%,3165.4,0.36%,98793.8,482,115,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-06-02,14:24:06,6天1时53分37秒,三,http://item.taobao.com/item.htm?id=582451177699,https://kandianbao.com/item/582451177699/, 
12,https://img.alicdn.com/imgextra/i1/4270642722/O1CN0144L9TZ1VyiifnKJ2V_!!4270642722.jpg,零度果坊 NFC鲜榨橙汁 家庭分享装960ml*4瓶 富含维C,	582849419706,,184.0,184.0,192,192,95.83%,1,46,0,29,1553,0.33%,5336,0.61%,285752,884,277,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-28,10:35:32,22时5分3秒,五,http://item.taobao.com/item.htm?id=582849419706,https://kandianbao.com/item/582849419706/, 
13,https://img.alicdn.com/imgextra/i1/4270642722/O1CN01s6VPX31VyiigTM49c_!!4270642722.jpg,零度果坊 NFC鲜榨红心番石榴汁 标准装300ml 新鲜果汁 富含维C,	582579170064,,119.0,238.0,124,248,95.97%,2,830,0,32,703,0.36%,5331.2,0.61%,117119.8,3158,125,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-28,15:04:34,1天2时34分5秒,五,http://item.taobao.com/item.htm?id=582579170064,https://kandianbao.com/item/582579170064/,口感味道好(4)
14,https://img.alicdn.com/imgextra/i1/4270642722/O1CN01P1fkwv1VyiiaKMrnX_!!4270642722.jpg,零度果坊  NFC鲜榨蓝莓草莓混合果汁 300ml 新鲜果汁 富含维C,	582580074366,,119.0,238.0,124,248,95.97%,2,838,0,38,1005,0.43%,6330.8,0.73%,167433,992,171,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-28,15:06:23,1天2时35分54秒,五,http://item.taobao.com/item.htm?id=582580074366,https://kandianbao.com/item/582580074366/, 
15,https://img.alicdn.com/imgextra/i2/4270642722/O1CN01BnmqCd1VyilNAlmSS_!!0-item_pic.jpg,零度果坊 每日鲜NFC果汁270ml 橙汁数字果汁 纯果汁 果汁含量100%,	641911648330,,99.0,99.0,103,103,96.12%,1,999,0,39,42,0.44%,3861,0.44%,4158,68,13,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-27,15:04:18,2时33分49秒,四,http://item.taobao.com/item.htm?id=641911648330,https://kandianbao.com/item/641911648330/, 
16,https://img.alicdn.com/imgextra/i1/4270642722/O1CN01aASubX1Vyiihevr0d_!!4270642722.jpg,零度果坊 猕猴桃复合果汁饮料 标准装300ml  富含维C,	582254624685,,119.0,238.0,124,248,95.97%,2,840,0,41,598,0.47%,6830.599999999999,0.79%,99626.8,526,90,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-06-02,14:27:32,6天1时57分3秒,三,http://item.taobao.com/item.htm?id=582254624685,https://kandianbao.com/item/582254624685/, 
17,https://img.alicdn.com/imgextra/i1/4270642722/O1CN01tybIjq1VyiiVgDGaV_!!4270642722.jpg,零度果坊 NFC鲜榨 橙汁 猕猴桃果汁饮料 混搭装960Ml*4瓶 富含维C,	582456401194,,184.0,184.0,192,192,95.83%,6,785,0,50,1575,0.57%,9200,1.06%,289800,1226,294,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-06-02,15:31:27,6天3时0分58秒,三,http://item.taobao.com/item.htm?id=582456401194,https://kandianbao.com/item/582456401194/,质量好(2);很好吃(7);长辈一直喝(2);发货速度很快(4)
18,https://img.alicdn.com/imgextra/i4/4270642722/O1CN01kgLXz61VyiktsUfqG_!!4270642722.jpg,零度果坊 每日鲜NFC果汁菠萝苹果汁数字果汁 纯果汁 果汁含量100%,	639698758109,,99.0,99.0,103,103,96.12%,1,199,0,69,158,0.79%,6831,0.79%,15642,192,32,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-31,10:50:30,3天22时20分1秒,一,http://item.taobao.com/item.htm?id=639698758109,https://kandianbao.com/item/639698758109/, 
19,https://img.alicdn.com/imgextra/i1/4270642722/O1CN01HFFsg01VyiiVgEoE4_!!4270642722.jpg,零度果坊  NFC鲜果榨取荔枝雪梨混合汁 300ml 新鲜果汁  富含维C,	582257120456,,119.0,238.0,124,248,95.97%,2,460,0,108,3026,1.23%,17992.8,2.07%,504131.6,2838,567,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-30,20:52:33,3天8时22分4秒,日,http://item.taobao.com/item.htm?id=582257120456,https://kandianbao.com/item/582257120456/,好喝(24);还会再来(2);很快到货(2);价格很贵(2)
20,https://img.alicdn.com/imgextra/i1/4270642722/O1CN01xCrx4b1VyiiVgF0iX_!!4270642722.jpg,零度果坊 NFC鲜榨西柚汁 标准装300ml新鲜果汁 富含维C,	582452453534,,119.0,238.0,124,248,95.97%,2,526,0,108,1764,1.23%,17992.8,2.07%,293882.39999999997,1114,338,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-06-02,14:39:25,6天2时8分56秒,三,http://item.taobao.com/item.htm?id=582452453534,https://kandianbao.com/item/582452453534/,口感非常好(10);很新鲜(2);价格很贵(2)
21,https://img.alicdn.com/imgextra/i4/4270642722/O1CN018rnfep1Vyilbncmi0_!!4270642722.jpg,零度果坊 早橙好NFC果汁 白桃芭乐100%早餐果汁 不加一滴水 9瓶装,	642682568982,,99.0,99.0,125,125,79.20%,1,8749,0,132,135,1.50%,13068,1.51%,13365,184,18,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-30,21:07:57,3天8时37分28秒,日,http://item.taobao.com/item.htm?id=642682568982,https://kandianbao.com/item/642682568982/, 
22,https://img.alicdn.com/imgextra/i1/4270642722/O1CN01lV06901Vyigiv64qU_!!4270642722.jpg,零度果坊 早橙好NFC果汁 菠萝汁100%含量 早晨早餐果汁 280ML*9瓶,	616089243954,,89.0,89.0,125,125,71.20%,1,171,0,231,25714,2.63%,20559,2.37%,2288546,5292,5389,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-28,22:42:33,1天10时12分4秒,五,http://item.taobao.com/item.htm?id=616089243954,https://kandianbao.com/item/616089243954/,好喝(657);香气浓郁(4);质量好(10);纯正(11);品牌强大(2);真的不好喝(24)
23,https://img.alicdn.com/imgextra/i1/4270642722/O1CN016prcvf1Vyiihesld8_!!4270642722.jpg,零度果坊 NFC鲜榨果汁 7种口味橙汁芒果 西柚 荔枝味果汁 富含维C,	582582446034,,119.0,119.0,124,124,95.97%,8,3938,0,477,10458,5.43%,56763,6.54%,1244502,9132,1825,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-27,22:11:08,9时40分39秒,四,http://item.taobao.com/item.htm?id=582582446034,https://kandianbao.com/item/582582446034/,不是很甜(2);添加剂放心(2);包装可以(5);纯正(2);很好吃(53);过期了(5)
24,https://img.alicdn.com/imgextra/i1/4270642722/O1CN01E6V2DP1Vyikirsxdj_!!4270642722.jpg,零度果坊 每日鲜NFC果汁 橙汁菠萝苹果汁 数字果汁  果汁含量100%,	639012916633,,99.0,99.0,103,103,96.12%,2,1065,0,689,1026,7.85%,68211,7.86%,101574,2350,148,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-31,14:51:49,4天2时21分20秒,一,http://item.taobao.com/item.htm?id=639012916633,https://kandianbao.com/item/639012916633/,好喝(3);日期很新鲜(2)
25,https://img.alicdn.com/imgextra/i1/4270642722/O1CN01YkGSJC1VyijPHNPbz_!!4270642722.jpg,【人气款】零度果坊 早橙好NFC果汁 100%早餐橙汁菠萝白桃芭乐汁,	631360771338,,89.0,99.0,125,125,79.20%,3,12108,0,1317,63679,15.00%,122481,14.11%,5922147,11144,11938,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-30,08:08:36,2天19时38分7秒,日,http://item.taobao.com/item.htm?id=631360771338,https://kandianbao.com/item/631360771338/,老爸推荐(2);小小的(9);纯正(4);很健康(11);不腻(2);不会再买(2)
26,https://img.alicdn.com/imgextra/i3/4270642722/O1CN01GOBY9p1VyijXg04Tp_!!4270642722.jpg,零度果坊 早橙好 NFC果汁 白桃芭乐 橙汁 早餐100%果汁 280ml*9瓶,	606181791301,,89.0,99.0,125,125,79.20%,2,6678,0,5299,215863,60.36%,492807,56.77%,20075259,39260,40647,0,,,全民疯抢,7天无理由|运费险|蚂蚁花呗|信用卡支付|集分宝,咖啡/麦片/冲饮,饮料,纯果蔬汁,,,2021-05-29,23:22:39,2天10时52分10秒,六,http://item.taobao.com/item.htm?id=606181791301,https://kandianbao.com/item/606181791301/,上头慢(3);上档次(5);小小的(84);儿子很喜欢(268);我喜欢果粒(4);品质很一般(3)
,,,,,,,,,,,,,30天销量总计,,,30天销售额总计,,,收藏数总计,,分享量总计,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,8779,,,868109.2,,,84596,,0,,,,,,,,,,,,,,,,
序号,主图,标题,宝贝id,货号,销售价最低,销售价最高,原价最低,原价最高,折扣率,sku数量,库存,邮费,30天销量,总销量,占全店销量比例,30天销售额,占全店销售额比例,总销售额,收藏数,评价数,PC总分享量,宝贝促销,店铺促销,活动促销,服务保证,一级类目,二级类目,三级类目,宝贝创建时间,宝贝创建时长,下架日期,下架时间,天数,星期,宝贝地址,分析地址,评价标签
数据下载时间：2021-05-27 12:30:30 功能：看店宝【kandianbao.com】全店宝贝 相关查询网址：https://kandianbao.com/dian/零度果坊食品旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,